Description,QTY,Units,Amount,Total
Kitchen,,,,9070.42
Base Cabinets,13,#,,
Base Cabinets,69.14,Ft,,
Wall Cabinets,3,#,,
Wall Cabinets,46.5,Ft,,
Tall Cabinets,6,#,,
Tall Cabinets,16.25,Ft,,
# Base Finished Ends,4,#,,
# Wall Finished Ends,0,#,,
# Tall Finished Ends,0,#,,
# Openings,38,#,,
# Base Doors,12,#,,
# Wall Doors,5,#,,
# Drawer Fronts,12,#,,
# Drawer Boxes,12,#,,
# Shelves,15,#,,
# Appliances,2,#,,
# Pulls,35,#,,
# Hinges,28,#,,
# Guides,23,#,,
# Rollout Shelves,4,#,,
# Tray Boxes,0,#,,
# Inserts,2,#,,
Finished Area,25.55,SqFt,,
Toe Skin,31.33,Ft,,
3/4" Rift Sawn White Oak MDF Core,1,#,,
5/8 Plywood Birch Prefinished,19,#,,
Edgebanding - White Oak,250,Ft,,
Blum Movento,23,#,,
Richelieu Leg,12,#,,
Round Metal Shelf Pin,40,#,,
MDF Flat Panel Door,17,#,,
MDF Flat Panel Door,42.7,SqFt,,
Appliance Panel,2,#,,
Dovetail Drawer Box,12,#,,
Garbage Pullout,1,#,,
Bottle Pullout,1,#,,
Counter Tops,94.07,SqFt,,
# Counter Joints,2,#,,
Counter Cutouts,1,#,,
Molding,18.5,Ft,,
Weight,640,lb,,
Storage,241.27,C.Ft,,
# Sheets,20,#,,
# Parts,137,#,,
Ensuite Vanity,,,,1069.30
Base Cabinets,3,#,,
Base Cabinets,10.5,Ft,,
Wall Cabinets,0,#,,
Tall Cabinets,0,#,,
# Base Finished Ends,2,#,,
# Openings,5,#,,
# Base Doors,5,#,,
# Wall Doors,0,#,,
# Drawer Fronts,6,#,,
# Drawer Boxes,6,#,,
# Pulls,11,#,,
# Hinges,4,#,,
# Guides,6,#,,
Finished Area,9.2,SqFt,,
Toe Skin,5.5,Ft,,
5/8 Plywood Birch Prefinished,3,#,,
Edgebanding - White Oak,40,Ft,,
Blum Movento,4,#,,
MDF Flat Panel Door,5,#,,
MDF Flat Panel Door,12.4,SqFt,,
Dovetail Drawer Box,6,#,,
Weight,180,lb,,
Storage,22.5,C.Ft,,
# Sheets,4,#,,
# Parts,17,#,,
Linen Closet,,,,1488.07
Tall Cabinets,2,#,,
Tall Cabinets,8.0,Ft,,
# Tall Finished Ends,2,#,,
# Shelves,10,#,,
# Closet Rods,1,#,,
Finished Area,6.4,SqFt,,
5/8 Plywood Birch Prefinished,2,#,,
Edgebanding - White Oak,30,Ft,,
Closet Rod - Round,1,#,,
# Sheets,2,#,,
# Parts,11,#,,
